student_reg_no,course_code,created_at,updated_at,is_reguler
THAWSCS035,DPCSMI2S444,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS035,DPCSMI1S341,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS035,DPCSCOS404,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS036,DPCSMI1S456,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCS036,DPCSMI1S341,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCS036,DPCS104,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCS036,DPCSMI1S245,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS036,DPCE2COS619,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEC037,DPEC103,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSEC037,DPECMI1S684,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEC037,DPECCOS211,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEC037,DPECCOS454,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEC037,DPMS601,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSME038,DPME102,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSME038,DPMECOS744,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSME038,DPMEMI2S661,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCE039,DPCEMI1S870,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCE039,DPCEMI2S256,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCE039,DPCECOS451,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCE039,DPCECOS891,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEE040,DPEEMI1S491,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEE040,DPEEMI1S362,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEE040,DPEEMI1S185,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEE040,DPCEMI1S362,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS069,DPCS103,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS069,DPCSMI1S245,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS069,DPCSMJS853,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCE101,DPCEMI2S415,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCE101,DPCECOS288,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCE101,DPCECOS397,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS102,DPCSMI1S879,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS102,DPCSMI1S130,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS102,DPCSMJS649,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCS102,DPECMJS392,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEE103,DPEEMI2S883,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEE103,DPEEMJS141,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEE103,DPEECOS713,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSME104,DPMECOS525,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSME104,DPMEMI1S708,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSME104,DPMEMJS873,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSME104,DPMEMI2S512,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSME104,DPCSMI1S245,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCE105,DPCEMI2S633,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCE105,DPCEMI2S866,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCE105,DPCEMI2S531,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCE105,DPCECOS397,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSCS106,DPCSMJS853,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCS106,DPCSCOS205,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSCS106,DPCSCOS721,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,False
THAWSEE107,DPEEMI2S701,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEE107,DPEEMI1S185,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
THAWSEE107,DPEEMI2S883,2025-01-10T16:00:16.130197+00,2025-01-10T16:00:16.130197+00,True
